S#,SNAME,SEX,BDATE,HEIGHT,DORM
02200000,余荣,女,2002-07-30,1.64,西2舍101
02000002,张红梅,男,2002-11-09,1.68,东2舍101
02200004,孙丽娟,女,2003-08-30,1.74,西2舍101
02000006,岳丽华,男,2003-10-01,1.65,东2舍101
02200008,张文,女,2002-12-10,1.59,西2舍102
02000010,孙鑫,男,2003-07-31,1.88,东2舍102
02200012,田璐,女,2002-07-26,1.64,西2舍102
02000014,陈建,男,2002-07-26,1.84,东2舍102
02200016,张柳,女,2002-12-26,1.68,西2舍103
02000018,刘俊,男,2002-05-17,1.67,东2舍103
02200020,凌玉梅,女,2002-11-20,1.52,西2舍103
02000022,张晨,男,2001-11-14,1.71,东2舍103
02200024,牛瑜,女,2003-03-28,1.71,西2舍104
02000026,魏刚,男,2003-11-03,1.79,东2舍104
02200028,李峰,女,2002-12-21,1.58,西2舍104
02000030,史丽,男,2003-02-24,1.82,东2舍104
02200032,蔡飞,女,2001-08-02,1.75,西2舍105
02000034,陈婷,男,2001-06-15,1.70,东2舍105
02200036,钱阳,女,2001-04-12,1.63,西2舍105
02000038,刘凯,男,2002-03-22,1.67,东2舍105
02200040,郭兵,女,2002-02-22,1.63,西2舍106
02000042,萧敏,男,2002-04-17,1.76,东2舍106
02200044,陈浩,女,2003-05-24,1.56,西2舍106
02000046,李倩,男,2003-09-06,1.63,东2舍106
02200048,程军,女,2001-08-20,1.64,西2舍107
02000050,银柳,男,2001-12-17,1.65,东2舍107
02200052,何丽,女,2001-11-05,1.76,西2舍107
02000054,张云,男,2002-02-07,1.89,东2舍107
02200056,杜建华,女,2001-06-25,1.79,西2舍108
02000058,黄华,男,2002-02-02,1.88,东2舍108
02200060,邵秀芳,女,2001-10-25,1.52,西2舍108
02000062,魏桂英,男,2002-02-15,1.77,东2舍108
02200064,杨文,女,2002-12-24,1.73,西2舍109
02000066,李玉英,男,2001-07-23,1.69,东2舍109
02200068,蒋欢,女,2002-09-26,1.56,西2舍109
02000070,金颖,男,2001-07-28,1.88,东2舍109
02200072,夏小红,女,2001-04-08,1.79,西2舍110
02000074,张芳,男,2003-03-25,1.60,东2舍110
02200076,黄磊,女,2001-07-31,1.80,西2舍110
02000078,宋伟,男,2003-08-24,1.82,东2舍110
02200080,刘颖,女,2003-03-04,1.50,西2舍111
02000082,王桂兰,男,2002-07-28,1.71,东2舍111
02200084,邹秀兰,女,2003-03-12,1.80,西2舍111
02000086,修明,男,2002-03-07,1.90,东2舍111
02200088,丁玉英,女,2003-10-16,1.74,西2舍112
02000090,王玉珍,男,2001-10-20,1.80,东2舍112
02200092,莫玉珍,女,2003-02-12,1.58,西2舍112
02000094,王燕,男,2002-04-28,1.86,东2舍112
02200096,李云,女,2003-05-16,1.50,西2舍113
02000098,孙强,男,2003-12-08,1.70,东2舍113
02200100,黄桂芳,女,2003-03-14,1.68,西2舍113
02000102,李强,男,2001-08-11,1.75,东2舍113
02200104,张凯,女,2003-12-30,1.50,西2舍114
02000106,鞠涛,男,2001-12-15,1.89,东2舍114
02200108,龚娜,女,2003-06-22,1.78,西2舍114
02000110,周丽,男,2001-01-23,1.64,东2舍114
02200112,高娟,女,2001-12-05,1.62,西2舍115
02000114,张俊,男,2003-07-10,1.81,东2舍115
02200116,李金凤,女,2002-03-19,1.67,西2舍115
02000118,庄华,男,2001-08-06,1.85,东2舍115
02200120,卢斌,女,2001-07-08,1.66,西2舍116
02000122,董瑜,男,2001-09-26,1.62,东2舍116
02200124,陈平,女,2001-09-20,1.58,西2舍116
02000126,崔旭,男,2001-09-17,1.80,东2舍116
02200128,蓝辉,女,2002-05-06,1.55,西2舍117
02000130,李杰,男,2001-10-29,1.90,东2舍117
02200132,谢辉,女,2003-12-16,1.72,西2舍117
02000134,陈颖,男,2001-12-17,1.70,东2舍117
02200136,程凤英,女,2001-05-17,1.74,西2舍118
02000138,张建国,男,2003-08-31,1.87,东2舍118
02200140,施莹,女,2002-08-28,1.66,西2舍118
02000142,卜刚,男,2003-12-25,1.72,东2舍118
02200144,丁阳,女,2003-02-04,1.77,西2舍119
02000146,阳秀梅,男,2002-04-26,1.81,东2舍119
02200148,黄洋,女,2001-11-24,1.77,西2舍119
02000150,刘建平,男,2001-10-26,1.71,东2舍119
02200152,龚桂芳,女,2003-04-30,1.58,西2舍120
02000154,齐淑兰,男,2002-11-08,1.64,东2舍120
02200156,傅艳,女,2002-10-29,1.76,西2舍120
02000158,张红,男,2001-07-12,1.88,东2舍120
02200160,赵秀芳,女,2002-10-24,1.75,西2舍121
02000162,李淑英,男,2001-07-17,1.75,东2舍121
02200164,许凯,女,2003-06-08,1.54,西2舍121
02000166,张芳,男,2003-06-11,1.69,东2舍121
02200168,方荣,女,2001-01-27,1.54,西2舍122
02000170,符丽娟,男,2001-03-03,1.76,东2舍122
02200172,曹桂香,女,2001-01-19,1.58,西2舍122
02000174,司秀英,男,2002-12-17,1.75,东2舍122
02200176,张金凤,女,2002-12-10,1.79,西2舍123
02000178,杨慧,男,2001-06-06,1.70,东2舍123
02200180,周丹丹,女,2003-08-02,1.76,西2舍123
02000182,刘建华,男,2002-03-13,1.84,东2舍123
02200184,柏桂芝,女,2001-03-09,1.69,西2舍124
02000186,刘岩,男,2003-07-07,1.69,东2舍124
02200188,杨瑞,女,2003-10-15,1.53,西2舍124
02000190,卢红梅,男,2001-12-21,1.85,东2舍124
02200192,江桂英,女,2002-09-07,1.52,西2舍125
